sentiment,text,selected_text
positive,"so great to see oin &amp; cynthia.  so happy.  dinner was great, cute little place.  too bad oin got sick afterwards.", so great to see oin &amp; cynthia. so happy.
positive,bought a new combo printer at costco today (officejet j4550) cause it was cheaper than ink 4 old one. #windows7 doesn't like the fax part, cheaper than ink 4 old one. #windows7 doesn't like the fax part
positive,freedom, freedom
negative,its funny. i'm kinda sad on my last day, sad
positive,@_bella_cullen13 @rosaliehcullen @esme_cullen26 @alicecullen01 @nessie_cullen10  these are my family girls  love u guys *smiles*, girls love
neutral,#followfriday @t_1001 cuz ive never been added to anyone's followfriday either  &amp; cuz he's got a cool picture, #followfriday @t_1001 cuz ive never been added to anyone's followfriday either &amp; cuz he's got a cool picture
negative,@rainbowbrite22 what r u stressin' bout mare?, what r u stressin'
negative,they aren't selling jamba juice at my school today  they're going to sell it next week. on monday., they aren't selling
negative,"@maritzasylvia hmm.. didn't get the dm, are you sure it didn't go to someone else?"," didn't get the dm, are you sure it didn't go to someone else?"
negative,where's my new @nylonmag, where's my new @nylonmag
negative,hate public internet... sometimes they don't even reach farther than the transmitter itself... and i'm sitting right next to it  #win, hate
neutral,"not paying attention at school, more distracted on browsing on pokernews"," not paying attention at school, more distracted on browsing on pokernews"
neutral,@friendofanimals they are my shoes--circa is the brand name., @friendofanimals they are my shoes--circa is the brand name.
neutral,"hey, i've just updated my twitter"," hey, i've just updated my twitter"
negative,i don't know what to do... time is going by so fast., i don't know what to do...
negative,"@aimzy24 i'm sorry, but x-men sucks... in a bad way!  ;p"," i'm sorry, but x-men sucks..."
neutral,"and i ain't happy go lucky, its just today... the world don't feel ugly"," and i ain't happy go lucky, its just today... the world don't feel ugly"
positive,"http://twitpic.com/4wuko - this is 'teddy bear', we might be getting him - isn't he so cute", cute
neutral,tino hat ne wii, tino hat ne wii
positive,i'm so proud of my nau graduate friend!!! we're getting ready to celebrate  tonight!!! it'll be an international ordeal~, proud
negative,@kmc1121 lolz dude i have to stop it got too personal my homegirl my be on twitter  lol, it got too personal
positive,is excited for tonight's party of ron  http://plurk.com/p/sujth, excited
negative,just getting off of work for the day! hope everyone has a wonderful mother's day tomorrow! hope you enjoy ur cheesecakes too!, hope everyone has a wonderful mother's day tomorrow! hope you enjoy ur cheesecakes too!
positive,haha @ playing fall out boy in a bar full of older people.  they's need to be educate., they's need to be educate.
negative,im depressed on this pretty day  everyone either is doing something or can't...bleh -.-, depressed
neutral,ajab chizi shode in blog-am :x che axayi ke migiram man, ajab chizi shode in blog-am :x che axayi ke migiram man
negative,http://twitpic.com/66vld - i don't like this bangs! i want my hair back!, i don't like this bangs!
negative,listening to am- teddy picker  she saw it and she grabbed it and it wasn't what it seemed, it wasn't what it seemed
negative,i feel like i'm on house arrest., i feel like i'm on house arrest.
positive,http://twitpic.com/4wssx - don't be cross. just jamming.  x, don't be cross. just jamming.
neutral,"my camera's being a doucheeee, it stopped working"," my camera's being a doucheeee, it stopped working"
negative,a dog got hit by a car in front of jamies house, hit
neutral,"@bethtana sci-fi junkie, gamer, pianist, gin and tonic drinker, and news addict"," @bethtana sci-fi junkie, gamer, pianist, gin and tonic drinker, and news addict"
negative,lalalalaaaa i have a virus  tear tearrr well my computer has a virus! running scan grrr : \, virus tear tearrr well my computer has a virus!
positive,love johnny deep looks in public enemies (l) i'll catch this film when show in hk, love
negative,"@karamcdowell i'm sorry, that stinks."," i'm sorry, that stinks."
positive,"@pirateeric when i read that, my first thought was using cast&lt;t&gt;() as a status symbol", status symbol
negative,@alphamoongirl i'd love to but i think the trek from london would be a bit too much, a bit too much
positive,"@nikkibenz i'm gonna leave you in peace my most beautiful girl in the world. take care, baby. love ya. xxxxxx", my most beautiful
negative,njoying sunday @netrockers plce and learning abt more in joomla, njoying sunday
positive,@bigguitarstore i'll drink to that  #shotdrinksaturday, i'll drink to that #shotdrinksaturday
negative,@tradinggoddess &quot;perfect practice makes perfect&quot;,perfect practice makes perfect&quot;
neutral,guess i'll take a nap, guess i'll take a nap
positive,"@michelecatahay i'd prefer &quot;observationally insightful&quot;, but call it as you see it.  my ice cream's just too fancy tonight.", my ice cream's just too fancy
positive,http://bit.ly/x7d1c  spanish grand prix 2009  in one hour!, spanish grand prix 2009 in one hour!
neutral,@speed_ofsound oooooooooook xd que aproveche (: la cancion esta genial, @speed_ofsound oooooooooook xd que aproveche (: la cancion esta genial
negative,"simple greetings from unexpected people can actually lighten our mood, doesn't it ever happen to you?"," simple greetings from unexpected people can actually lighten our mood, doesn't it ever happen to you?"
neutral,@shanenassiri i just wish they would come down on their prices. i got a great deal on my mac but it took about 3 weeks of research, @shanenassiri i just wish they would come down on their prices. i got a great deal on my mac but it took about 3 weeks of research
neutral,i've never been that close to falling asleep while standing.  looking forward to pushing faders tomorrow am, i've never been that close to falling asleep while standing. looking forward to pushing faders tomorrow am
neutral,@nicktionary by the way...i got d.t, @nicktionary by the way...i got d.t
positive,"(@danielleejonas) ugh, i love tila. haters need to shut up", love
negative,"@wonderlanddream i can't, i have an exam on wednesday"," i can't,"
neutral,"@iskrin i haven't got any cupcakes yet  i was hoping if i said it enough, some would appear!"," @iskrin i haven't got any cupcakes yet i was hoping if i said it enough, some would appear!"
